hour,Demand (MW),Price (pounds/MWh)
0,19393.47674,119.0544237
1,18494.23256,111.6538332
2,18140,110.6538809
3,17571.37209,104.0049055
4,17412.66279,117.6391718
5,17894.23256,116.2944841
6,20122.96512,133.9996577
7,23454.4186,148.6769697
8,25539.53488,159.2228404
9,26149.55814,173.804423
10,25813.65116,168.8352156
11,25393.81395,152.6803185
12,25353.47674,152.7064022
13,24982.9186,148.5458986
14,24606.59302,148.1821518
15,24708.66279,131.5227383
16,25982.59302,184.6413631
17,27899.12791,213.2189038
18,28985.31395,242.7811625
19,29138.43023,189.2545913
20,28266.36047,137.5120328
21,26688.27907,130.9691947
22,24262.09302,123.6539215
23,21430.65116,131.6560223
