SETTLEMENT_DATE,SETTLEMENT_PERIOD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW
01-Aug-21,1,18797,650,6527,0,13080,0,271,1515,759,372,-122,0,759,-1
01-Aug-21,2,18144,645,6527,0,13080,0,270,1508,753,372,-183,0,755,-1
01-Aug-21,3,17693,642,6527,0,13080,0,271,1507,752,371,-81,0,755,-1
01-Aug-21,4,17486,638,6527,0,13080,0,12,1508,749,371,-165,0,755,-1
01-Aug-21,5,17102,640,6527,0,13080,0,56,1411,705,369,-190,0,709,-1
01-Aug-21,6,16648,641,6527,0,13080,0,303,1408,702,369,-175,0,707,-1
01-Aug-21,7,16460,639,6527,0,13080,0,535,1408,703,370,-276,0,707,-1
01-Aug-21,8,16248,637,6527,0,13080,0,686,1408,704,370,-306,0,707,-1
01-Aug-21,9,16182,627,6527,0,13080,0,695,1504,749,369,-297,0,754,-1
01-Aug-21,10,16079,616,6527,0,13080,0,860,1508,752,369,-308,0,755,-1
01-Aug-21,11,16098,605,6527,0,13080,0,855,1508,752,371,-309,0,755,-1
01-Aug-21,12,16001,593,6527,9,13080,0,784,1508,752,371,-303,0,755,-1
01-Aug-21,13,16467,594,6527,96,13080,0,407,1508,752,371,-303,-11,755,-1
01-Aug-21,14,16851,595,6527,276,13080,0,301,1507,752,371,-303,-66,755,-1
01-Aug-21,15,17568,604,6527,539,13080,0,41,1508,752,369,-371,-181,756,-1
01-Aug-21,16,18293,613,6527,901,13080,0,8,1507,753,372,-452,-71,755,-1
01-Aug-21,17,19084,642,6527,1260,13080,0,11,1699,843,833,-454,-19,849,-1
01-Aug-21,18,20165,671,6527,1530,13080,0,11,1706,849,855,-454,-51,852,-1
01-Aug-21,19,20719,692,6527,2100,13080,0,12,1802,893,903,-454,-170,899,-1
01-Aug-21,20,21245,712,6527,2710,13080,0,13,1805,897,904,-454,-98,901,-1
01-Aug-21,21,21663,707,6527,3170,13080,0,13,1733,874,951,-454,-189,949,-1
01-Aug-21,22,21771,702,6527,3530,13080,0,13,1730,872,953,-454,-186,951,-1
01-Aug-21,23,21863,696,6527,3700,13080,0,13,1611,851,953,-454,-156,951,-1
01-Aug-21,24,21953,689,6527,3780,13080,0,13,1606,850,953,-454,-160,951,-1
01-Aug-21,25,22272,684,6527,3920,13080,0,12,1439,826,954,-452,-29,950,-1
01-Aug-21,26,22124,679,6527,4100,13080,0,13,1438,830,953,-451,-120,950,-1
01-Aug-21,27,21954,699,6527,4350,13080,0,13,1979,982,1001,-453,-273,997,-1
01-Aug-21,28,21605,719,6527,4350,13080,0,11,2004,992,1003,-439,-425,999,-1
01-Aug-21,29,21532,743,6527,4370,13080,0,8,2004,992,1003,-335,-511,999,-1
01-Aug-21,30,21492,767,6527,3860,13080,0,8,2004,992,1003,-379,-531,999,-1
01-Aug-21,31,21507,763,6527,3760,13080,0,8,2004,992,1002,-453,-435,999,-1
01-Aug-21,32,21844,758,6527,3810,13080,0,7,2003,992,1003,-444,-406,999,-1
01-Aug-21,33,22366,772,6527,3510,13080,0,9,2004,991,1003,-385,-520,1018,-1
01-Aug-21,34,23223,785,6527,3220,13080,0,10,2004,991,1003,-451,-421,1019,-1
01-Aug-21,35,24045,775,6527,2730,13080,0,12,2004,992,1003,-453,-269,1019,-1
01-Aug-21,36,24424,765,6527,2170,13080,0,15,2004,992,1004,-453,-116,1019,-1
01-Aug-21,37,24786,740,6527,1750,13080,0,14,2004,992,1002,-453,-85,1019,-1
01-Aug-21,38,24729,714,6527,1340,13080,0,14,2003,991,1003,-438,-77,1019,-1
01-Aug-21,39,24700,644,6527,876,13080,0,11,2004,991,1004,-351,-1,1019,-1
01-Aug-21,40,24534,573,6527,506,13080,0,8,2004,990,1003,-440,-56,1019,-1
01-Aug-21,41,24428,527,6527,177,13080,0,8,2004,990,1003,-454,-4,1019,-1
01-Aug-21,42,24291,480,6527,17,13080,0,8,2003,990,1003,-454,0,1019,-1
01-Aug-21,43,24466,448,6527,0,13080,0,8,2004,991,806,-403,-1,1000,-1
01-Aug-21,44,23721,415,6527,0,13080,0,7,2004,991,798,-328,-95,999,-1
01-Aug-21,45,22867,395,6527,0,13080,0,8,1908,947,798,-402,-246,953,-1
01-Aug-21,46,21667,375,6527,0,13080,0,8,1905,942,798,-373,-398,951,-1
01-Aug-21,47,20366,359,6527,0,13080,0,8,1713,853,854,-324,-413,857,-1
01-Aug-21,48,19366,343,6527,0,13080,0,8,1706,846,856,-426,-261,853,-1
02-Aug-21,1,18458,333,6527,0,13080,0,8,1610,803,809,-453,-109,805,-1
02-Aug-21,2,17987,322,6527,0,13080,0,11,1607,798,806,-408,-13,803,-1
02-Aug-21,3,17541,311,6527,0,13080,0,155,1607,798,807,-353,-91,804,-1
02-Aug-21,4,17417,300,6527,0,13080,0,399,1607,798,807,-353,-26,804,-1
02-Aug-21,5,17215,293,6527,0,13080,0,428,1607,799,806,-353,-142,802,-1
02-Aug-21,6,16932,285,6527,0,13080,0,410,1607,800,806,-353,-165,802,-1
02-Aug-21,7,16659,277,6527,0,13080,0,441,1607,800,806,-353,-92,802,-1
02-Aug-21,8,16545,269,6527,0,13080,0,407,1607,798,806,-353,-147,802,-1
02-Aug-21,9,16590,272,6527,0,13080,0,432,1511,754,762,-353,-115,757,-1
02-Aug-21,10,16671,274,6527,0,13080,0,411,1507,751,760,-353,-137,755,-1
02-Aug-21,11,17066,264,6527,0,13080,0,426,1507,750,760,-353,-221,755,-1
02-Aug-21,12,17604,254,6527,24,13080,0,318,1507,752,760,-353,-132,755,-1
02-Aug-21,13,19280,247,6527,214,13080,0,17,1699,841,804,-353,-190,849,-1
02-Aug-21,14,20619,239,6527,533,13080,0,3,1707,848,807,-353,-234,852,-1
02-Aug-21,15,22204,228,6527,1010,13080,0,3,1974,846,855,-399,-383,994,-1
02-Aug-21,16,23158,217,6527,1560,13080,0,3,1984,849,856,-453,-388,999,-1
02-Aug-21,17,24183,220,6527,2230,13080,0,5,2004,982,994,-447,-239,999,-1
02-Aug-21,18,24640,223,6527,2870,13080,0,7,2004,992,999,-453,-279,999,-1
02-Aug-21,19,24774,225,6527,3580,13080,0,6,2005,992,1003,-453,-342,999,-1
02-Aug-21,20,24630,226,6527,4180,13080,0,7,2005,992,1003,-453,-417,999,-1
02-Aug-21,21,24498,234,6527,4610,13080,0,7,2005,992,1003,-453,-501,999,-1
02-Aug-21,22,24386,242,6527,4620,13080,0,7,2005,993,1003,-453,-512,999,-1
02-Aug-21,23,24363,253,6527,5080,13080,0,11,2004,993,930,-453,-535,999,-1
02-Aug-21,24,24557,263,6527,5010,13080,0,8,2005,993,927,-453,-535,999,-1
02-Aug-21,25,24577,285,6527,4600,13080,0,7,2005,994,1000,-453,-536,999,-1
02-Aug-21,26,24527,307,6527,4170,13080,0,7,2004,994,1003,-453,-536,999,-1
02-Aug-21,27,24547,330,6527,4060,13080,0,7,2004,994,1002,-453,-535,998,-1
02-Aug-21,28,24431,353,6527,4430,13080,0,9,2005,993,1003,-453,-536,999,-1
02-Aug-21,29,24664,383,6527,4350,13080,0,9,2004,994,1003,-453,-535,999,-1
02-Aug-21,30,24903,413,6527,3780,13080,0,8,2005,993,1003,-453,-536,999,-1
02-Aug-21,31,25232,438,6527,3140,13080,0,8,2005,992,1003,-453,-536,999,-1
02-Aug-21,32,25499,463,6527,3300,13080,0,8,2005,992,1003,-453,-536,999,-1
02-Aug-21,33,25937,483,6527,2630,13080,0,8,2005,993,1003,-453,-535,1018,-1
02-Aug-21,34,26588,502,6527,2160,13080,0,12,2005,993,1003,-453,-536,1019,-1
02-Aug-21,35,27241,503,6527,1980,13080,0,6,2005,992,1002,-453,-536,1019,-1
02-Aug-21,36,27609,503,6527,1670,13080,0,1,2004,992,1003,-453,-503,1019,-1
02-Aug-21,37,27973,497,6527,1410,13080,0,1,2005,992,1003,-453,-365,1019,-1
02-Aug-21,38,27993,490,6527,1020,13080,0,3,2005,993,1003,-453,-335,1020,-1
02-Aug-21,39,27641,453,6527,704,13080,0,9,2004,992,1003,-453,-266,1019,-1
02-Aug-21,40,27468,415,6527,425,13080,0,11,2004,992,1003,-453,-396,1019,-1
02-Aug-21,41,27103,404,6527,165,13080,0,9,2004,991,1003,-453,-471,1019,-1
02-Aug-21,42,26679,392,6527,20,13080,0,12,2004,992,1003,-453,-506,1019,-1
02-Aug-21,43,26414,389,6527,0,13080,0,11,2004,992,1002,-453,-414,1000,-1
02-Aug-21,44,25657,386,6527,0,13080,0,10,2004,992,1002,-453,-510,1000,-1
02-Aug-21,45,24379,371,6527,0,13080,0,7,2004,992,1003,-453,-536,999,-1
02-Aug-21,46,22959,355,6527,0,13080,0,7,2003,988,1003,-453,-535,999,-1
02-Aug-21,47,21494,340,6527,0,13080,0,7,1717,857,861,-390,-466,859,-1
02-Aug-21,48,20346,324,6527,0,13080,0,5,1706,847,857,-425,-313,854,-1
03-Aug-21,1,19406,316,6527,0,13080,0,3,1610,803,808,-454,-160,806,-1
03-Aug-21,2,18810,308,6527,0,13080,0,5,1607,800,806,-454,-100,804,-1
03-Aug-21,3,18373,295,6527,0,13080,0,159,1607,799,806,-454,-10,803,-1
03-Aug-21,4,18204,281,6527,0,13080,0,276,1606,800,806,-454,0,803,-1
03-Aug-21,5,17794,271,6527,0,13080,0,524,1607,799,806,-454,-68,803,-1
03-Aug-21,6,17434,261,6527,0,13080,0,610,1607,799,806,-454,-134,803,-1
03-Aug-21,7,17236,251,6527,0,13080,0,608,1609,800,548,-454,-20,805,-1
03-Aug-21,8,17138,241,6527,0,13080,0,605,1609,799,537,-454,-107,805,-1
03-Aug-21,9,17200,245,6527,0,13080,0,606,1607,798,666,-454,-116,804,-1
03-Aug-21,10,17350,249,6527,0,13080,0,601,1607,797,670,-454,-7,804,-1
03-Aug-21,11,17616,242,6527,0,13080,0,560,1589,800,714,-454,0,803,-1
03-Aug-21,12,18147,235,6527,23,13080,0,436,1588,802,711,-438,-59,803,-1
03-Aug-21,13,19777,231,6527,252,13080,0,9,1798,888,234,-340,-175,895,-1
03-Aug-21,14,21078,226,6527,652,13080,0,3,1806,897,212,-431,-327,898,-1
03-Aug-21,15,22764,215,6527,1210,13080,0,4,1997,986,490,-453,-478,957,-1
03-Aug-21,16,23886,204,6527,1810,13080,0,4,2003,991,505,-453,-535,959,-1
03-Aug-21,17,24893,211,6527,2420,13080,0,5,2004,993,979,-453,-536,998,-1
03-Aug-21,18,25225,218,6527,2930,13080,0,4,2004,992,1003,-453,-535,999,-1
03-Aug-21,19,25123,223,6527,3680,13080,0,3,2004,994,1003,-453,-535,999,-1
03-Aug-21,20,24529,228,6527,4420,13080,0,8,2004,995,1003,-453,-536,999,-1
03-Aug-21,21,24093,256,6527,4900,13080,0,8,1730,980,1003,-453,-535,999,-1
03-Aug-21,22,23848,284,6527,5720,13080,0,8,1720,980,1003,-453,-535,999,-1
03-Aug-21,23,23525,309,6527,6440,13080,0,11,1635,969,1003,-453,-536,999,-1
03-Aug-21,24,23399,333,6527,6610,13080,0,12,1631,965,1003,-453,-536,999,-1
03-Aug-21,25,23616,358,6527,6590,13080,0,12,1703,902,1003,-453,-535,999,-1
03-Aug-21,26,23571,383,6527,6520,13080,0,8,1706,899,1003,-453,-536,999,-1
03-Aug-21,27,23523,397,6527,6730,13080,0,7,1564,943,1003,-453,-536,999,-1
03-Aug-21,28,23367,411,6527,6370,13080,0,7,1556,944,1003,-453,-536,999,-1
03-Aug-21,29,23534,436,6527,6310,13080,0,7,1605,900,1003,-453,-536,999,-1
03-Aug-21,30,23507,460,6527,5940,13080,0,7,1608,898,1003,-453,-535,999,-1
03-Aug-21,31,23724,467,6527,5490,13080,0,7,1618,896,1003,-453,-535,999,-1
